#OTUID	KOSMOS.D1.M1BS	KOSMOS.D1.MPBS	KOSMOS.D15.M1AS	KOSMOS.D15.MPAS	KOSMOS.D24.M1A	KOSMOS.D24.MPAS	KOSMOS.D32.M1AS	KOSMOS.D32.MPAS	KOSMOS.D36.M1AS	KOSMOS.D36.MPAS	KOSMOS.D42.M1AS	KOSMOS.D42.MPAS	KOSMOS.D48.M1AS	KOSMOS.D48.MPAS	KOSMOS.D8.M1AS	KOSMOS.D8.MPAS
D_3__Flavobacteriales_D_4__Crocinitomicaceae$413836610f329c5e0cb1bc80fbd460b3	60	111	204	196	124	391	0	976	0	311	0	545	0	1456	17	212
D_3__Flavobacteriales_D_4__Crocinitomicaceae$88c51da8bd1c1f083f365d8404831a4b	218	270	0	1221	0	73	0	95	0	1818	0	433	0	721	213	264
D_3__Flavobacteriales_D_4__NS9_marine_group$f23636152b1c8d7072185dd514649907	118	91	285	51	214	335	314	115	336	45	132	88	2400	113	4	183
D_3__Rhodobacterales_D_4__Rhodobacteraceae$1e2dd57a202a14eeb749d0a50ed94630	0	0	56	0	23	0	195	9	109	0	25	0	50	0	18	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$128836b13549428e8f9cf5b5983ba2e8	37	43	97	27	21	105	260	52	149	21	163	97	3728	38	31	22
D_3__UBA10353_marine_group_D_4__uncultured_gamma_proteobacterium$e753ed196a7c30d566bb315375851dd5	398	391	320	391	187	173	129	682	35	230	49	412	14	313	79	421
D_3__Sphingomonadales_D_4__Sphingomonadaceae$7e6a9d305a468f98960341dff62ed4e6	0	0	857	63	398	1371	184	801	18	17	0	11	0	0	11	0
D_3__Oceanospirillales_D_4__Nitrincolaceae$1a568d239096d63ef1a263661a72b3f5	0	0	406	0	0	0	21	0	0	0	0	0	0	0	0	0
D_3__SAR11_clade_D_4__Clade_I$d894bc779580ad7a6755e7486f4e238e	809	559	141	638	118	347	0	447	37	224	0	240	0	236	74	685
D_3__Rhizobiales_D_4__Stappiaceae$36b47c444496536add955d37f2ef3fe0	0	0	6	4	31	1822	189	2442	14	15	368	102	17	6	0	0
D_3__Cellvibrionales_D_4__Halieaceae$5d2a278d81b9a1c3a1475ebf0f983fe4	351	193	38	237	298	498	98	343	386	409	507	534	83	487	135	314
D_3__Oceanospirillales_D_4__Nitrincolaceae$0a9bb06130e5848be54db8c80006862c	0	0	335	0	0	0	23	0	19	0	0	0	0	0	0	0
D_3__Microtrichales_D_4__Microtrichaceae$8e6b0b634afa67d98925a405d5c6ea45	594	647	19	993	15	469	0	196	0	977	0	267	0	164	31	493
D_3__SAR11_clade_D_4__Clade_I$9cf9dbc29cfd9e79d8260a69543c4ebd	793	527	132	509	157	458	0	399	0	155	0	348	0	404	0	726
D_3__SAR11_clade_D_4__Clade_I$2254682df5e48271de1302be391773d0	627	438	145	513	214	405	82	410	0	168	0	177	0	307	0	631
D_3__Verrucomicrobiales_D_4__Rubritaleaceae$8d9b0b5cec68197ac9ad8a1802f29fd6	432	291	142	127	76	216	29	96	24	0	41	24	2714	48	0	246
D_3__Parvibaculales_D_4__PS1_clade$3043d03bd8656e13196bdc5a2d4aef0d	325	120	359	199	12	632	0	52	13	151	81	1067	32	1010	636	105
D_3__Oceanospirillales_D_4__Saccharospirillaceae$2c7999f223a152e08873cd26598582ff	0	0	57	25	0	37	0	41	0	0	0	43	0	0	0	5
