#OTUID	KOSMOSD15_M1AS_TT	KOSMOSD15_MPAS_TT	KOSMOSD1_M1BS_TT	KOSMOSD1_MPBS_TT	KOSMOSD24_M1AS_TT	KOSMOSD24_MPAS_TT	KOSMOSD32_M1AS_TT	KOSMOSD32_MPAS_TT	KOSMOSD36_M1AS_TT	KOSMOSD36_MPAS_TT	KOSMOSD42_M1AS_TT	KOSMOSD42_MPAS_TT	KOSMOSD48_M1AS_TT	KOSMOSD48_MPAS_TT	KOSMOSD8_M1AS_TT	KOSMOSD8_MPAS_TT
ASV_28260	0	0	1	24	0	0	0	0	0	1	0	1	0	0	0	0
ASV_28261	0	0	0	0	13	0	0	0	13	0	2	0	0	0	0	0
ASV_28266	0	0	0	0	2	0	12	0	4	0	2	0	4	0	0	0
ASV_28267	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0
ASV_28268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	22
ASV_28271	0	0	0	0	0	13	0	0	0	8	0	2	0	0	0	0
ASV_28272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ASV_28273	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ASV_28274	14	0	0	0	0	0	0	0	6	1	0	0	0	0	1	0
ASV_28275	0	0	0	0	0	0	0	0	0	0	13	0	9	0	0	0
ASV_28277	8	0	3	3	0	0	0	0	0	3	0	0	0	0	2	0
ASV_28278	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_28282	0	0	0	0	1	0	12	0	5	0	0	0	2	0	0	0
ASV_28284	0	3	3	2	0	4	0	0	0	4	0	3	0	0	0	0
ASV_28285	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28286	2	1	0	2	0	4	0	0	0	4	0	0	0	1	2	2
ASV_28287	0	0	0	0	0	4	1	0	5	0	7	0	1	0	0	0
ASV_28292	0	0	0	0	3	0	8	0	1	0	3	1	1	0	0	0
ASV_28293	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28306	0	0	0	9	1	0	0	0	0	0	0	0	0	0	4	0
ASV_28307	0	0	0	0	0	0	1	0	9	0	2	0	2	0	0	0
ASV_28315	0	0	0	0	0	0	0	0	11	0	2	0	0	0	0	0
ASV_28320	0	0	1	0	0	2	0	0	0	0	0	0	8	0	0	1
ASV_28322	0	0	0	0	0	0	0	9	1	0	0	0	2	0	0	0
ASV_28323	0	0	0	0	0	0	0	0	6	2	4	0	0	0	0	0
ASV_28324	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_28325	0	0	0	0	0	0	0	0	0	2	0	0	8	0	2	0
ASV_28326	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
