sampling.day,mesocosm,value,parameter
3,1,4.588492353,CN
4,1,4.375260598,CN
6,1,6.448039216,CN
10,1,6.030392157,CN
12,1,3.361735089,CN
14,1,3.431924883,CN
15,1,4.861286255,CN
16,1,5.129936306,CN
17,1,5.348024316,CN
18,1,5.531289911,CN
20,1,6.589662447,CN
22,1,6.548837209,CN
24,1,8.278202677,CN
26,1,8.463094034,CN
28,1,8.56195122,CN
32,1,10.1336074,CN
34,1,8.927240461,CN
36,1,10.45054945,CN
38,1,10.44886878,CN
40,1,10.64639175,CN
42,1,9.08812616,CN
44,1,7.387725632,CN
46,1,8.541381929,CN
48,1,11.4773821,CN
50,1,6.532809612,CN
1,2,5.209761163,CN
2,2,4.822885572,CN
3,2,6.417439703,CN
4,2,7.534179688,CN
6,2,5.910746812,CN
10,2,5.935412027,CN
12,2,5.521028037,CN
14,2,4.558685446,CN
16,2,5.890547264,CN
17,2,5.833109017,CN
18,2,5.249469214,CN
20,2,6.223923445,CN
22,2,9.337853107,CN
24,2,5.352876106,CN
26,2,15.04418262,CN
28,2,9.087452471,CN
32,2,9.949494949,CN
34,2,9.464157706,CN
36,2,10.30223124,CN
38,2,9.815370197,CN
40,2,9.937258687,CN
42,2,9.847328244,CN
44,2,8.554863813,CN
46,2,7.984686064,CN
48,2,11.61417323,CN
50,2,8.035991141,CN
1,3,5.806338028,CN
2,3,5.058666667,CN
3,3,5.454063604,CN
4,3,6.279443255,CN
6,3,4.830220713,CN
10,3,5.579710145,CN
12,3,4.152610442,CN
14,3,4.034343434,CN
16,3,7.393203883,CN
17,3,5.166414523,CN
18,3,4.560869565,CN
20,3,4.776357827,CN
22,3,4.723122239,CN
24,3,4.707828004,CN
26,3,5.457556936,CN
28,3,6.275092937,CN
32,3,5.775020016,CN
34,3,8.956989247,CN
36,3,8.693581781,CN
38,3,9.684482759,CN
40,3,9.323214286,CN
42,3,10.04569055,CN
44,3,8.277391304,CN
46,3,8,CN
48,3,13.28968254,CN
50,3,6.852967228,CN
1,4,5.427135678,CN
2,4,4.919964029,CN
3,4,5.563741722,CN
4,4,6.274212369,CN
6,4,5,CN
10,4,3.814121037,CN
12,4,7.873350923,CN
14,4,4.516265912,CN
15,4,6.543560606,CN
16,4,5.056,CN
17,4,6.072407045,CN
18,4,4.9312,CN
20,4,3.602846054,CN
22,4,5.354943274,CN
24,4,4.02754491,CN
26,4,3.484391819,CN
28,4,5.543391188,CN
32,4,5.863036304,CN
34,4,5.61387632,CN
36,4,6.573705179,CN
38,4,5.900787402,CN
40,4,5.596363636,CN
42,4,5.078991597,CN
44,4,5.591494845,CN
46,4,5.772919605,CN
48,4,8.31237721,CN
50,4,7.599402093,CN
1,5,5.158490566,CN
2,5,5.500976563,CN
3,5,6.050104384,CN
4,5,6.525460455,CN
6,5,4.37360179,CN
10,5,9.398467433,CN
12,5,5.545226131,CN
14,5,4.701298701,CN
15,5,5.911411411,CN
16,5,5.226415094,CN
17,5,6.019672131,CN
18,5,8.340053763,CN
20,5,7.372272144,CN
22,5,6.72907489,CN
24,5,7.699795082,CN
26,5,9.166309013,CN
28,5,8.999022483,CN
32,5,11.76421637,CN
34,5,9.361593463,CN
36,5,9.747767857,CN
38,5,7.251908397,CN
40,5,8.009314141,CN
42,5,8.64980916,CN
44,5,8.007177033,CN
46,5,8.08538163,CN
48,5,12.14511873,CN
50,5,6.566226673,CN
1,6,5.059266228,CN
2,6,4.841846758,CN
3,6,5.385742188,CN
4,6,5.860531309,CN
6,6,4.951642336,CN
10,6,6.028046422,CN
12,6,4.649621212,CN
14,6,5.004296455,CN
15,6,5.987447699,CN
16,6,4.453900709,CN
17,6,5.216848674,CN
18,6,5.865625,CN
20,6,6.282828283,CN
22,6,6.097154073,CN
24,6,7.967479675,CN
26,6,6.829328915,CN
28,6,9.621380846,CN
32,6,7.925138632,CN
34,6,9.583723106,CN
36,6,9.284860558,CN
38,6,10.4193849,CN
40,6,8.392857143,CN
42,6,7.989889706,CN
44,6,7.308798646,CN
46,6,7.393626184,CN
48,6,11.69489559,CN
50,6,5.965829146,CN
1,7,5.343073593,CN
2,7,5.133090246,CN
3,7,5.349303136,CN
4,7,7.036574487,CN
6,7,4.386381025,CN
10,7,5.71679198,CN
12,7,4.768537074,CN
14,7,5.450051493,CN
15,7,6.645443196,CN
16,7,5.997179126,CN
