#OTUID	KOSMOSD15_M1AS_X	KOSMOSD15_MPAS_X	KOSMOSD1_M1BS_X	KOSMOSD1_MPBS_X	KOSMOSD24_M1AS_X	KOSMOSD24_MPAS_X	KOSMOSD32_M1AS_X	KOSMOSD32_MPAS_X	KOSMOSD36_M1AS_X	KOSMOSD36_MPAS_X	KOSMOSD42_M1AS_X	KOSMOSD42_MPAS_X	KOSMOSD48_M1AS_X	KOSMOSD48_MPAS_X	KOSMOSD8_M1AS_X	KOSMOSD8_MPAS_X
ASV_8225	0	4	1	0	0	0	0	3	0	0	0	1	0	0	0	0
ASV_8229	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV_8230	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_8235	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
ASV_8242	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_8259	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1
ASV_8261	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_8262	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0
ASV_8263	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0
ASV_8266	157	0	0	0	0	0	0	0	25	0	50	0	0	0	0	0
ASV_8267	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8269	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_8279	0	0	0	0	0	0	1	0	3	0	0	0	3	0	0	0
ASV_8296	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0
ASV_8297	0	1	0	0	0	14	0	90	0	0	0	6	0	4	0	0
ASV_8300	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8302	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_8306	29	0	0	0	188	0	76	22	0	0	0	0	36	15	16	0
ASV_8320	0	5	13	1	0	8	0	4	0	0	0	0	0	17	0	1
ASV_8323	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
ASV_8329	48	64	41	13	0	9	0	7	0	15	2	86	0	29	0	41
ASV_8331	0	0	0	4	0	0	0	5	0	1	0	4	0	1	0	0
ASV_8337	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_8348	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ASV_8355	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_8356	389	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
ASV_8359	0	17	6	65	926	88	335	258	167	6	106	5	796	62	0	21
ASV_8360	1	12	21	17	11	4	0	3	1	2	0	10	0	7	5	12
