#OTUID	KOSMOSD15_M1AS_UU	KOSMOSD15_MPAS_UU	KOSMOSD1_M1BS_UU	KOSMOSD1_MPBS_UU	KOSMOSD24_M1AS_UU	KOSMOSD24_MPAS_UU	KOSMOSD32_M1AS_UU	KOSMOSD32_MPAS_UU	KOSMOSD36_M1AS_UU	KOSMOSD36_MPAS_UU	KOSMOSD42_M1AS_UU	KOSMOSD42_MPAS_UU	KOSMOSD48_M1AS_UU	KOSMOSD48_MPAS_UU	KOSMOSD8_M1AS_UU	KOSMOSD8_MPAS_UU
ASV_2335	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2337	0	51	3	4	0	29	0	0	0	1	0	29	9	11	117	0
ASV_2338	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0
ASV_2339	129	0	17	6	0	1	0	0	0	0	0	1	0	0	0	4
ASV_2342	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0
ASV_2350	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2359	6	3	0	0	0	0	1	2	0	0	1	0	1	0	0	2
ASV_2362	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2363	37	13	2	2	1	0	6	17	0	6	0	5	9	18	1	13
ASV_2366	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	2
ASV_2367	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2369	0	0	23	3	0	3	0	2	0	0	0	0	0	0	0	0
ASV_2371	20	12	23	8	1	9	17	11	135	5	383	19	6923	2	1	1
ASV_2372	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_2376	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0
ASV_2377	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_2384	0	8	8	15	0	4	0	3	0	0	0	0	0	0	1	0
ASV_2390	0	11	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ASV_2399	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2421	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ASV_2428	7	3	4	2	7	1	12	0	2	0	2	2	0	0	3	0
ASV_2430	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2432	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_2443	0	0	2	3	0	0	0	23	0	0	0	0	0	1	0	0
ASV_2445	0	1	0	0	0	1	0	7	0	0	0	0	0	0	0	0
ASV_2447	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
