#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
D_3__Flavobacteriales_D_4__Crocinitomicaceae$88c51da8bd1c1f083f365d8404831a4b	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	
D_3__Flavobacteriales_D_4__NS9_marine_group$f23636152b1c8d7072185dd514649907	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9_marine_group		
D_3__Rhodobacterales_D_4__Rhodobacteraceae$1e2dd57a202a14eeb749d0a50ed94630	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
D_3__Rhodobacterales_D_4__Rhodobacteraceae$128836b13549428e8f9cf5b5983ba2e8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	
D_3__UBA10353_marine_group_D_4__uncultured_gamma_proteobacterium$e753ed196a7c30d566bb315375851dd5	Bacteria	Proteobacteria	Gammaproteobacteria	UBA10353_marine_group			
D_3__Sphingomonadales_D_4__Sphingomonadaceae$7e6a9d305a468f98960341dff62ed4e6	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	
D_3__SAR11_clade_D_4__Clade_I$d894bc779580ad7a6755e7486f4e238e	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia	
D_3__Rhizobiales_D_4__Stappiaceae$36b47c444496536add955d37f2ef3fe0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae	Stappia	
D_3__Cellvibrionales_D_4__Halieaceae$5d2a278d81b9a1c3a1475ebf0f983fe4	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	
D_3__Microtrichales_D_4__Microtrichaceae$8e6b0b634afa67d98925a405d5c6ea45	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	
D_3__SAR11_clade_D_4__Clade_I$9cf9dbc29cfd9e79d8260a69543c4ebd	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia	
