#OTUID	KOSMOS.D1.MPBS	KOSMOS.D15.MPAS	KOSMOS.D24.MPAS	KOSMOS.D32.MPAS	KOSMOS.D36.MPAS	KOSMOS.D42.MPAS	KOSMOS.D48.MPAS	KOSMOS.D8.MPAS
D_3__Rhodospirillales_D_4__AEGEAN-169_marine_group$6d7a42774a36e338da98a0937480cd55	118	199	226	436	175	245	278	496
D_3__SAR11_clade_D_4__Clade_I$b089019331338acaaa96f5907b7e2996	211	293	251	176	89	107	200	489
D_3__Rhizobiales_D_4__Rhizobiaceae$57e98ab12256fcdb77615781c5f50d4e	0	0	1518	1147	34	239	39	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$bc059ccc5b66ed216fd896383ea0a1db	31	43	0	80	95	138	373	421
D_3__Alteromonadales_D_4__Colwelliaceae$ccd078bd4639483431e02397eddea90b	0	28	16	44	0	34	60	30
D_3__uncultured_bacterium_D_4__uncultured_bacterium$e0425cc4190f25205765f327ce9fd042	15	21	0	139	107	89	349	571
D_3__Caulobacterales_D_4__Caulobacteraceae$ed88c6254e5d3f102bfb3e417e557578	0	0	0	0	119	219	398	0
D_3__SAR86_clade$b255efd2282dfa6bd22ec7dcbd713e18	183	474	300	199	260	347	514	395
D_3__Flavobacteriales_D_4__Cryomorphaceae$353cdac17f2faeda9fcfa6656662e9e0	11	28	0	99	33	67	1397	254
D_3__Flavobacteriales_D_4__Cryomorphaceae$9df0689bbef29c91aed77804ff19d4fd	15	60	72	66	0	29	52	23
