#OTUID	Kingdom	Supergroup	Phylum	Class	Subclass	Order	Suborder	Family	Genus	Species
790bbecc418867048e6ff094f0aad1d5	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae			NA			
91d8042749f85403e991f35f549ea4fe	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae			NA			
1e337073e903d3c72d8a73426c9686dd	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	NA			
04a54c961bb235e7ec1b8ce88453832e	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae			NA			
6ff2b5e928b906c7e6c9160aa8a82c08	Eukaryota	Archaeplastida	Chlorophyta	Prasinophyceae		Pyramimonadales	NA	Pyramimonadaceae	Pyramimonas	Pyramimonas
dbe31db4a6433ffb7bacbcb0d8408d4e	Eukaryota	Archaeplastida	Chlorophyta	Prasinophyceae		Pyramimonadales	NA	Pyramimonadaceae		
a747673f614170a78208246c62a15d2c	Eukaryota						NA			
62f27fc97ea9fdd47efa64b9e37d2b60	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae		Prymnesiales	NA	Chrysochromulinaceae		
11f834db425bc90a16300e2f079b15a7	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae		NA			
9ef1663ba6e8ac161cda68c2c22e7e57	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Melosirales	NA	Melosiraceae		
a5d825eb3dcbf92d97714ef8429083a1	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae		NA			
c4cfb0b7f611bdccd09de59ba9a695b0	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae		Oltmannsiellopsidales	NA	Oltmannsiellopsidaceae	Oltmannsiellopsis	Oltmannsiellopsis
c173397bbd6d627df9baa4418aad6e34	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae		Mamiellales	NA	Bathycoccaceae		
57329113e6a30613d269cbc1936b3675	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae			NA			
97b57286420c4afbbdc0cbc966f07e14	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	NA			
f92fc2d7704f12d8becbf2d4899f6f06	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae		Pyrenomonadales	NA			
50248b2209dfdaa6f034669c3e6867b2	Eukaryota	Stramenopiles	Ochrophyta				NA			
e753315b7be9afa0dc39c36815ed1b50	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae		Prymnesiales	NA	Chrysochromulinaceae		
32f1b340dd18f56c69f3ac4be3b19a9c	Eukaryota	Stramenopiles	Ochrophyta				NA			
1619d7c75ef240aef42ab53522a3a103	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta			NA			
e3a27e62c9f613652b033963b6dcf408	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
581b5de83d8bd9cd597b40c6f89c9c83	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	NA			
5c279554584d314b39b8e0bccf615b79	Eukaryota	Hacrobia	Rappemonad				NA			Rappemonad
8ed96db8bdc7ac16cdf12d6c14aa0f7a	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae			NA			
6ddcd71ddc5a0880102bba6fe6bbecb8	Eukaryota	Stramenopiles	Ochrophyta				NA			
885b27839b62b00f31fd09e99079972d	Unassigned						NA			
52e76e2733f7b696202b560aa865d245	Eukaryota	Stramenopiles	Ochrophyta				NA			
9a34ce0491c7186221662c1ddff1e15e	Eukaryota	Archaeplastida					NA			
0788a03b3206a719ffc491628300dada	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae		Oltmannsiellopsidales	NA	Oltmannsiellopsidaceae	Oltmannsiellopsis	Oltmannsiellopsis
d675927595c6ffdd33c0c40809a73593	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
594d2769cca5613a1d4ddb6071a8ad94	Eukaryota	Stramenopiles	Ochrophyta				NA			
