#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
D_3__Parvibaculales_D_4__OCS116_clade$21c64468ca8dd063030a18a30cd45e6c	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	OCS116_clade		
D_3__Oligoflexales_D_4__053A03-B-DI-P58$89e634d9337f6132258d937cf3cbb869	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	053A03-B-DI-P58		
D_3__Flavobacteriales_D_4__Flavobacteriaceae$7752fcb1460e90f3147d29cd58f682c9	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavicella	
D_3__Coxiellales_D_4__Coxiellaceae$37d5e513fafab3a9519ce5beb5e9ec86	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	
D_3__Tenderiales_D_4__Tenderiaceae$f57170c5308b8d6f68cbbb9518a744d0	Bacteria	Proteobacteria	Gammaproteobacteria	Tenderiales	Tenderiaceae	Candidatus_Tenderia	
D_3__Sphingomonadales_D_4__Sphingomonadaceae$765355eb62dceab1f16b7a7ed75e6cb5	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Blastomonas	
D_3__Bdellovibrionales_D_4__Bdellovibrionaceae$5b21fd7400f5e8fc7699cc807fe5487e	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	
D_3__SAR324_clade(Marine_group_B)$af31dfdb37314334540adaadc108d18b	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)			
D_3__Opitutales_D_4__Puniceicoccaceae$9236291e44aa7edb55897501033f3f56	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	MB11C04_marine_group	
D_3__Bdellovibrionales_D_4__Bacteriovoracaceae$c7a62f3ef010a3b7423178cb71c3a23e	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Halobacteriovorax	
D_3__Cellvibrionales_D_4__Halieaceae$38bc9fe4d0184d4dddaec06014452faf	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus	
D_3__Campylobacterales_D_4__Sulfurovaceae$bf4045cdc2335719380294534ba723d7	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	
D_3__Rhodospirillales_D_4__Thalassospiraceae$e4aaf5e8feb3975b4c62a61db0fcabf9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Thalassospiraceae	Thalassospira	
D_3__Xanthomonadales_D_4__Xanthomonadaceae$8875b05b508dbb42caaeb1c1e28fcf04	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	
D_3__Pirellulales_D_4__Pirellulaceae$36cc33380a188d31aa2754c5c84b61eb	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula	
D_3__Sneathiellales_D_4__Sneathiellaceae$4d21785a037321487f7d020e8ec3fe00	Bacteria	Proteobacteria	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	Sneathiella	
D_3__Rhizobiales_D_4__Xanthobacteraceae$0c0b7ffb50c9e5a4617c2134ac9eab6c	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	
D_3__Planctomycetales_D_4__Gimesiaceae$cd0a615539db1a77818bc9af201eff7c	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Gimesiaceae		
D_3__Rhodobacterales_D_4__Rhodobacteraceae$200a438e882a183999683d9c19248f48	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	
D_3__Flavobacteriales_D_4__Schleiferiaceae$194fac6c221f068b1e81f818fc0495a3	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Schleiferiaceae	Schleiferia	
D_3__Campylobacterales_D_4__Arcobacteraceae$2e7af2fff7355606906d66b3c73adc93	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	
D_3__Alteromonadales_D_4__Alteromonadaceae$429cbc16900b0182c399d241c25979cc	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	
