#OTUID	KOSMOS.D1.M1BS	KOSMOS.D1.MPBS	KOSMOS.D15.M1AS	KOSMOS.D15.MPAS	KOSMOS.D24.M1A	KOSMOS.D24.MPAS	KOSMOS.D32.M1AS	KOSMOS.D32.MPAS	KOSMOS.D36.M1AS	KOSMOS.D36.MPAS	KOSMOS.D42.M1AS	KOSMOS.D42.MPAS	KOSMOS.D48.M1AS	KOSMOS.D48.MPAS	KOSMOS.D8.M1AS	KOSMOS.D8.MPAS
D_3__Oceanospirillales_D_4__Nitrincolaceae$e136cb63ca70b1a49fc0c13d959beee6	12	3	1928	0	364	5	1641	31	330	0	28	27	51	4	5	5
D_3__Opitutales_D_4__Puniceicoccaceae$0377bd854b482edcd93733587cf06f3e	205	93	8	76	387	132	1097	243	1584	187	625	325	336	220	898	19
D_3__Cellvibrionales_D_4__Porticoccaceae$25c2006b63d1dc07b5b1a99a511fe698	539	227	802	995	730	1670	1853	650	1765	632	633	1855	1033	2066	4310	1021
D_3__Rhodobacterales_D_4__Rhodobacteraceae$a94dc965388092c7cea2bdf6f0a49ec9	0	0	77	33	26	433	127	46	160	10	140	47	6	49	51	0
D_3__Balneolales_D_4__Balneolaceae$f5c2b41fd2dbfe46432f3132d42976a8	1791	628	34	709	0	698	28	567	0	596	8	222	0	301	22	490
D_3__Puniceispirillales_D_4__SAR116_clade$a160e82b275fa5d85efb76525c1343cf	232	180	111	162	196	158	72	158	187	163	640	69	1457	131	27	171
D_3__Oceanospirillales_D_4__Nitrincolaceae$f6c42c28e35251c2d964822b6513b591	46	65	31	247	19	600	1219	250	738	23	291	394	90	110	42	26
D_3__Rhodobacterales_D_4__Rhodobacteraceae$1ab964cc3f147eb14d26c0ed58e238b9	32	92	343	114	45	154	356	379	320	10	119	481	1671	268	71	25
D_3__Sphingomonadales_D_4__Sphingomonadaceae$03f6ee3b2fd107b28848749b78775ae7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	39
D_3__OM182_clade$4280e5ba8f9a4f1880e5493432a1590d	146	92	249	244	0	105	7	349	0	126	8	238	68	340	2	500
D_3__Planctomycetales_D_4__Rubinisphaeraceae$5030bd080490d6d601bcf7279402dcb2	4	9	61	36	0	72	0	166	23	130	4	72	169	250	0	443
D_3__Oceanospirillales_D_4__Nitrincolaceae$dab4bf3183d7723cddc99ce6a9113271	0	4	219	45	4	29	110	10	40	0	0	50	10	13	0	6
D_3__Flavobacteriales_D_4__Crocinitomicaceae$8b8372389975e3ee41a25138d53db956	360	394	76	994	62	523	11	241	18	553	0	56	9	206	94	376
D_3__Betaproteobacteriales_D_4__Rhodocyclaceae$f9d378c4390cfb614482182bbdae11ea	0	0	0	0	3	6	3	3456	9	0	2	0	0	0	0	6
D_3__Caulobacterales_D_4__Caulobacteraceae$814db0e0e076f5b2aa0390599843b0e8	287	42	529	811	504	1069	2883	743	709	294	222	559	293	486	164	338
D_3__Rhodospirillales_D_4__AEGEAN-169_marine_group$6d7a42774a36e338da98a0937480cd55	1239	660	255	1025	1208	1007	167	1062	52	468	5	391	30	629	32	1554
D_3__Rhizobiales_D_4__Rhizobiaceae$57e98ab12256fcdb77615781c5f50d4e	0	0	25	28	44	2096	158	1479	59	38	51	264	119	39	0	13
D_3__Alteromonadales_D_4__Colwelliaceae$ccd078bd4639483431e02397eddea90b	14	0	251	43	0	43	201	101	101	11	9	92	0	130	39	36
D_3__Cellvibrionales_D_4__Halieaceae$fd07c02ea1941ca03eed9aa9cda65e9f	181	137	253	272	221	244	22	432	31	287	28	509	14	515	548	131
D_3__Desulfobacterales_D_4__Desulfobacteraceae$733efda0dfa1e4aee08a104471720d97	6	9	17	9	0	0	173	8	188	22	37	23	150	8	0	15
D_3__Microtrichales_D_4__Ilumatobacteraceae$7e6d05039e9d3ab8fdeb8437abe74ec1	570	513	27	1026	0	441	0	99	0	306	0	104	0	99	31	252
D_3__Bdellovibrionales_D_4__Bacteriovoracaceae$9e226c2e0b6cc98aefb15a444b658f9a	138	88	41	73	87	133	173	24	58	3	10	22	29	62	124	816
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$759684bdfc07068c417d96936a4c9d8f	0	0	5	27	27	8	17	0	195	7	0	16	0	150	43	25
D_3__Flavobacteriales_D_4__Crocinitomicaceae$0b14ebbe72113447234286dc01a1df26	0	0	0	4	0	564	0	0	0	0	0	0	0	0	0	0
D_3__Micrococcales_D_4__Microbacteriaceae$f3d64f0bdb112501773f302fd53ec640	0	8	252	134	84	839	224	221	53	31	78	57	48	21	17	21
D_3__Chitinophagales_D_4__uncultured$349423f938682795095e2647cc3026f2	504	729	53	397	17	1124	0	139	23	395	15	134	56	77	18	1411
D_3__Corynebacteriales_D_4__Mycobacteriaceae$c9c4123127533a2a7387fb64f9edc37e	0	0	85	12	111	445	419	917	187	139	134	355	59	75	4	0
D_3__Francisellales_D_4__Francisellaceae$1cf66acddae9a3e06ff902aceb9d5c4b	0	0	2098	118	101	10	0	0	0	0	0	0	0	0	31	0
D_3__HOC36$a034059c5e481f5ecc188efdd0d21e41	66	93	35	145	0	23	0	286	0	37	0	169	0	152	8	599
D_3__Parvibaculales_D_4__OCS116_clade$21c64468ca8dd063030a18a30cd45e6c	426	211	58	270	98	129	0	435	11	125	6	161	0	129	5	217
D_3__Oligoflexales_D_4__053A03-B-DI-P58$89e634d9337f6132258d937cf3cbb869	0	0	414	0	855	7	108	210	19	12	2	49	12	55	0	4
D_3__Flavobacteriales_D_4__Flavobacteriaceae$7752fcb1460e90f3147d29cd58f682c9	43	24	750	42	0	62	3	212	0	15	0	43	0	45	2213	38
D_3__Coxiellales_D_4__Coxiellaceae$37d5e513fafab3a9519ce5beb5e9ec86	344	267	76	293	136	456	31	93	0	65	58	61	2525	131	8	193
D_3__Tenderiales_D_4__Tenderiaceae$f57170c5308b8d6f68cbbb9518a744d0	183	96	593	80	395	65	57	101	31	115	33	119	232	91	0	66
D_3__Sphingomonadales_D_4__Sphingomonadaceae$765355eb62dceab1f16b7a7ed75e6cb5	0	0	0	28	32	43	4	69	9	0	9	6	0	0	0	12
D_3__Bdellovibrionales_D_4__Bdellovibrionaceae$5b21fd7400f5e8fc7699cc807fe5487e	319	359	920	1248	75	587	15	543	8	267	0	338	1016	192	72	790
D_3__SAR324_clade(Marine_group_B)$af31dfdb37314334540adaadc108d18b	1132	746	299	513	305	525	103	2227	23	343	16	1621	23	763	136	1107
D_3__Opitutales_D_4__Puniceicoccaceae$9236291e44aa7edb55897501033f3f56	846	273	1948	757	717	809	20	436	26	1284	3	725	0	1526	45	543
D_3__Bdellovibrionales_D_4__Bacteriovoracaceae$c7a62f3ef010a3b7423178cb71c3a23e	0	0	20	20	1426	0	1398	42	810	3	40	3	54	0	7	0
D_3__Cellvibrionales_D_4__Halieaceae$38bc9fe4d0184d4dddaec06014452faf	14	15	218	107	72	89	76	156	50	54	18	103	29	362	10	131
D_3__Campylobacterales_D_4__Sulfurovaceae$bf4045cdc2335719380294534ba723d7	36	33	0	44	0	71	0	101	0	109	0	271	0	201	0	89
D_3__Rhodospirillales_D_4__Thalassospiraceae$e4aaf5e8feb3975b4c62a61db0fcabf9	0	0	15	3	49	1789	8	0	6	0	0	0	0	0	8	0
D_3__Xanthomonadales_D_4__Xanthomonadaceae$8875b05b508dbb42caaeb1c1e28fcf04	3	6	0	0	0	0	0	0	0	0	0	0	0	0	12	22
D_3__Pirellulales_D_4__Pirellulaceae$36cc33380a188d31aa2754c5c84b61eb	117	131	248	125	358	139	403	595	70	173	44	169	210	187	88	159
D_3__Sneathiellales_D_4__Sneathiellaceae$4d21785a037321487f7d020e8ec3fe00	0	0	5	0	355	5	207	24	241	5	116	7	1130	0	0	40
D_3__Rhizobiales_D_4__Xanthobacteraceae$0c0b7ffb50c9e5a4617c2134ac9eab6c	0	0	0	0	4	0	0	770	24	0	39	55	89	19	3	0
D_3__Planctomycetales_D_4__Gimesiaceae$cd0a615539db1a77818bc9af201eff7c	13	26	91	4	1158	3	283	22	45	9	14	8	131	5	0	46
D_3__Rhodobacterales_D_4__Rhodobacteraceae$200a438e882a183999683d9c19248f48	0	80	303	0	436	0	137	0	35	0	0	0	101	0	0	0
D_3__Flavobacteriales_D_4__Schleiferiaceae$194fac6c221f068b1e81f818fc0495a3	224	215	143	121	29	160	22	68	22	20	2	27	17	19	386	112
D_3__Campylobacterales_D_4__Arcobacteraceae$2e7af2fff7355606906d66b3c73adc93	806	542	181	1368	12	499	664	651	215	83	46	390	37	353	9	684
D_3__Alteromonadales_D_4__Alteromonadaceae$429cbc16900b0182c399d241c25979cc	0	0	72	13	84	1730	113	12	7	0	10	19	20	8	47	14
D_3__Sphingomonadales_D_4__Sphingomonadaceae$75278b9ad87b4a3e9ab339d2fa6d00a2	0	0	575	232	85	339	34	1471	25	58	28	466	57	32	55	44
D_3__Flavobacteriales_D_4__Cryomorphaceae$c6724b2c249e242e7b58533deaef0a92	553	350	191	339	222	250	13	73	62	214	36	510	393	502	176	396
D_3__Cytophagales_D_4__Cyclobacteriaceae$b3bf656b002045259476cef93e27dfa0	47	8	26	12	33	115	0	74	0	28	0	435	0	246	107	29
ba8aa899595c146c4177ab4fe1e915d7$ba8aa899595c146c4177ab4fe1e915d7	334	116	14	175	7	234	102	53	33	171	21	181	19	203	62	137
D_3__Micrococcales_D_4__Microbacteriaceae$3408219e3a86c5f4c2b3f52a099468c4	349	358	0	402	39	180	191	409	13	59	17	76	12	32	33	208
D_3__Bdellovibrionales_D_4__Bdellovibrionaceae$e9252fc69dafafee5219677a290150f9	0	0	0	0	560	0	21	378	90	0	230	178	47	8	4	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$bc02376e2d0850f2fe295a60f4f7de0e	135	64	218	106	592	32	85	6	77	15	16	37	35	40	100	149
D_3__Pseudomonadales_D_4__Pseudomonadaceae$4653c4907a4f883064e8af7d12432e14	0	0	13	36	322	816	27	44	146	93	5	18	0	10	65	124
D_3__Candidatus_Peregrinibacteria_D_4__uncultured_bacterium$108ce01a5998dd6600479f6595613838	170	116	63	249	14	860	17	1176	0	68	0	13	4	31	5	229
D_3__Pseudomonadales_D_4__Moraxellaceae$c97b8b68c155227759272ca49e5e4857	0	0	0	0	0	0	8	0	111	0	0	0	0	0	0	0
D_3__Propionibacteriales_D_4__Propionibacteriaceae$f17d3da8eb98435912cf7cfb2d1bfbdb	0	2	0	0	0	0	0	0	3	0	0	0	0	5	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$2e946be935b01c1ab5145fc7feb84130	0	0	26	0	0	5	18	0	8	0	11	0	15	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$eca99e5c078e49135ffcb4a37fcd12dd	38	39	17	125	6	352	0	14	6	38	10	71	201	16	81	27
D_3__Rickettsiales_D_4__SM2D12$a39534443a8fdc6af8dd7b2bf4110177	0	0	21	129	524	7	116	477	43	7	26	13	8	37	0	28
D_3__Opitutales_D_4__Puniceicoccaceae$75e701c158cb20aec806cd575bc77602	21	10	38	5	1077	7	47	158	13	43	0	0	3	7	5	24
D_3__Sphingobacteriales_D_4__Lentimicrobiaceae$36e67bfc839356ae084aeeecdaf1ddc1	5	16	10	18	2	19	46	35	31	16	5	37	0	30	0	21
D_3__Thalassobaculales_D_4__Nisaeaceae$5decb97906ed2ef08b02f1e7fa19eabb	328	141	41	157	16	140	0	392	0	128	0	131	0	126	5	313
D_3__Propionibacteriales_D_4__Nocardioidaceae$6d7868a40a558799092ecaf43a9384be	0	0	61	0	120	309	156	99	59	29	60	314	21	37	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$b64125f5ae2a64e22ed2d52dabc6cabf	2	0	0	7	0	33	0	195	14	164	81	695	0	70	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$b7f64aa9683bffbba9bddbb2a6c2a196	157	145	10	208	0	85	0	1051	0	315	0	1138	0	274	53	368
D_3__Rhodobacterales_D_4__Rhodobacteraceae$f71313098100b4983cb9b892527d27d2	276	382	113	75	75	148	7	72	0	74	0	243	12	163	29	297
D_3__Rhizobiales_D_4__Devosiaceae$2c88da2d6fa7d8f6ca1ad321f93d8951	21	0	11	13	0	924	13	132	7	0	0	6	0	0	0	8
D_3__Rhizobiales_D_4__Rhizobiaceae$3ea911efe6d09ab0c6aed78e04d2685b	0	0	14	5	98	598	360	334	172	27	73	159	98	68	20	3
D_3__Rhodospirillales_D_4__Magnetospiraceae$0f2f6b15ee02bc930d9520a84b4e778c	86	61	85	68	225	32	96	234	28	68	5	34	7	62	9	261
D_3__Sneathiellales_D_4__Sneathiellaceae$8a3bbfd6f1faa07d6cae23b7a86ecd48	0	9	8	25	16	5	0	45	0	5	0	21	0	29	5	94
D_3__Leptospirales_D_4__Leptospiraceae$5ab90fa609afe9e63d7e4eef55b2ec91	95	77	61	50	72	323	68	21	42	20	38	33	64	28	232	68
D_3__Pedosphaerales_D_4__Pedosphaeraceae$b42a737da40cd5d84a083d417bb9cb9e	73	41	72	30	222	85	14	257	18	48	2	108	0	92	4	139
D_3__Oceanospirillales_D_4__Saccharospirillaceae$3d55db6e2a19d566f6c13d4b50a3f9d4	0	0	37	0	14	125	17	0	0	0	0	4	0	0	36	0
